sport,teams,team,bookmaker,market,odds,fetched_at
americanfootball_ncaaf,,NC State Wolfpack,FanDuel,h2h,2.46,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Virginia Cavaliers,FanDuel,h2h,1.57,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,North Carolina Tar Heels,FanDuel,h2h,3.45,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,TCU Horned Frogs,FanDuel,h2h,1.32,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Auburn Tigers,FanDuel,h2h,1.34,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Baylor Bears,FanDuel,h2h,3.35,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,California Golden Bears,FanDuel,h2h,1.58,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,UCLA Bruins,FanDuel,h2h,2.42,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Clemson Tigers,FanDuel,h2h,4.5,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,LSU Tigers,FanDuel,h2h,1.22,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Louisville Cardinals,FanDuel,h2h,3.75,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Ole Miss Rebels,FanDuel,h2h,1.29,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Notre Dame Fighting Irish,FanDuel,h2h,1.1,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Wisconsin Badgers,FanDuel,h2h,7.6,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Michigan Wolverines,FanDuel,h2h,1.85,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Oklahoma Sooners,FanDuel,h2h,1.98,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Ohio State Buckeyes,FanDuel,h2h,2.08,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,Texas Longhorns,FanDuel,h2h,1.77,2026-03-17T19:54:10.761945
americanfootball_ncaaf,,NC State Wolfpack,FanDuel,h2h,2.46,2026-03-17T19:54:18.334403
americanfootball_ncaaf,,Virginia Cavaliers,FanDuel,h2h,1.57,2026-03-17T19:54:18.334403
americanfootball_ncaaf,,North Carolina Tar Heels,FanDuel,h2h,3.45,2026-03-17T19:54:18.334403
americanfootball_ncaaf,,TCU Horned Frogs,FanDuel,h2h,1.32,2026-03-17T19:54:18.334403
americanfootball_ncaaf,,Auburn Tigers,FanDuel,h2h,1.34,2026-03-17T19:54:18.334403
